contour_id,point_id,u,v
99,1,1.00659,1.65098
100,0,1.01731,1.66854
100,1,1.01665,1.66756
101,0,1.02808,1.68466
101,1,1.01731,1.66854
102,0,1.02878,1.68561
102,1,1.02808,1.68466
103,0,1.04024,1.70125
103,1,1.02878,1.68561
104,0,1.04098,1.70217
104,1,1.04024,1.70125
105,0,1.05312,1.71729
105,1,1.04098,1.70217
106,0,1.05389,1.71817
106,1,1.05312,1.71729
107,0,1.06668,1.73275
107,1,1.05389,1.71817
108,0,1.06749,1.7336
108,1,1.06668,1.73275
109,0,1.0809,1.74761
109,1,1.06749,1.7336
110,0,1.08175,1.74843
110,1,1.0809,1.74761
111,0,1.09576,1.76184
111,1,1.08175,1.74843
112,0,1.09665,1.76261
112,1,1.09576,1.76184
113,0,1.11123,1.7754
113,1,1.09665,1.76261
114,0,1.11214,1.77613
114,1,1.11123,1.7754
115,0,1.12727,1.78827
115,1,1.11214,1.77613
116,0,1.12822,1.78897
116,1,1.12727,1.78827
117,0,1.14386,1.80043
117,1,1.12822,1.78897
118,0,1.14483,1.80109
118,1,1.14386,1.80043
119,0,1.16096,1.81186
119,1,1.14483,1.80109
120,0,1.16196,1.81247
120,1,1.16096,1.81186
121,0,1.17854,1.82253
121,1,1.16196,1.81247
122,0,1.17957,1.8231
122,1,1.17854,1.82253
123,0,1.19658,1.83242
123,1,1.17957,1.8231
124,0,1.19763,1.83294
124,1,1.19658,1.83242
125,0,1.21502,1.84152
125,1,1.19763,1.83294
126,0,1.2161,1.842
126,1,1.21502,1.84152
127,0,1.23385,1.8498
127,1,1.2161,1.842
128,0,1.23495,1.85023
128,1,1.23385,1.8498
129,0,1.25302,1.85726
129,1,1.23495,1.85023
130,0,1.25413,1.85764
130,1,1.25302,1.85726
131,0,1.2725,1.86387
131,1,1.25413,1.85764
132,0,1.27363,1.8642
132,1,1.2725,1.86387
133,0,1.29224,1.86963
133,1,1.27363,1.8642
134,0,1.29339,1.86991
134,1,1.29224,1.86963
135,0,1.31222,1.87451
135,1,1.29339,1.86991
136,0,1.31338,1.87474
136,1,1.31222,1.87451
137,0,1.3324,1.87853
137,1,1.31338,1.87474
138,0,1.33356,1.87871
138,1,1.3324,1.87853
139,0,1.35273,1.88166
139,1,1.33356,1.87871
140,0,1.3539,1.88178
140,1,1.35273,1.88166
141,0,1.37317,1.8839
141,1,1.3539,1.88178
142,0,1.37435,1.88397
142,1,1.37317,1.8839
143,0,1.3937,1.88524
143,1,1.37435,1.88397
144,0,1.39487,1.88527
144,1,1.3937,1.88524
145,0,1.41426,1.88569
145,1,1.39487,1.88527
146,0,1.41544,1.88566
146,1,1.41426,1.88569
147,0,1.43482,1.88524
147,1,1.41544,1.88566
148,0,1.436,1.88516
148,1,1.43482,1.88524
149,0,1.45535,1.88389
149,1,1.436,1.88516
150,0,1.45652,1.88377
150,1,1.45535,1.88389
151,0,1.4758,1.88166
151,1,1.45652,1.88377
152,0,1.47696,1.88148
152,1,1.4758,1.88166
153,0,1.49612,1.87853
153,1,1.47696,1.88148
154,0,1.49728,1.8783
154,1,1.49612,1.87853
155,0,1.5163,1.87451
155,1,1.49728,1.8783
156,0,1.51744,1.87423
156,1,1.5163,1.87451
157,0,1.53628,1.86962
157,1,1.51744,1.87423
158,0,1.53741,1.8693
158,1,1.53628,1.86962
159,0,1.55602,1.86387
159,1,1.53741,1.8693
160,0,1.55714,1.86349
160,1,1.55602,1.86387
161,0,1.5755,1.85726
161,1,1.55714,1.86349
162,0,1.5766,1.85683
162,1,1.5755,1.85726
163,0,1.59467,1.8498
163,1,1.5766,1.85683
164,0,1.59575,1.84933
164,1,1.59467,1.8498
165,0,1.6135,1.84152
165,1,1.59575,1.84933
166,0,1.61455,1.841
166,1,1.6135,1.84152
167,0,1.63194,1.83242
167,1,1.61455,1.841
168,0,1.63298,1.83185
168,1,1.63194,1.83242
169,0,1.64998,1.82253
169,1,1.63298,1.83185
170,0,1.65098,1.82192
170,1,1.64998,1.82253
171,0,1.66756,1.81186
171,1,1.65098,1.82192
172,0,1.66854,1.8112
172,1,1.66756,1.81186
173,0,1.68466,1.80043
173,1,1.66854,1.8112
174,0,1.68561,1.79973
174,1,1.68466,1.80043
175,0,1.70125,1.78827
175,1,1.68561,1.79973
176,0,1.70217,1.78753
176,1,1.70125,1.78827
177,0,1.71729,1.77539
177,1,1.70217,1.78753
178,0,1.71818,1.77462
178,1,1.71729,1.77539
179,0,1.73276,1.76183
179,1,1.71818,1.77462
180,0,1.73361,1.76102
180,1,1.73276,1.76183
181,0,1.74761,1.74761
181,1,1.73361,1.76102
182,0,1.74843,1.74676
182,1,1.74761,1.74761
183,0,1.76184,1.73275
183,1,1.74843,1.74676
184,0,1.76261,1.73186
184,1,1.76184,1.73275
185,0,1.7754,1.71728
185,1,1.76261,1.73186
186,0,1.77614,1.71637
186,1,1.7754,1.71728
187,0,1.78827,1.70124
187,1,1.77614,1.71637
188,0,1.78897,1.70029
188,1,1.78827,1.70124
189,0,1.80044,1.68465
189,1,1.78897,1.70029
190,0,1.80109,1.68368
190,1,1.80044,1.68465
191,0,1.81186,1.66755
191,1,1.80109,1.68368
192,0,1.81247,1.66655
192,1,1.81186,1.66755
193,0,1.82253,1.64997
193,1,1.81247,1.66655
194,0,1.8231,1.64894
194,1,1.82253,1.64997
195,0,1.83243,1.63193
195,1,1.8231,1.64894
196,0,1.83295,1.63088
196,1,1.83243,1.63193
197,0,1.84152,1.61349
197,1,1.83295,1.63088
198,0,1.842,1.61241
198,1,1.84152,1.61349
199,0,1.84981,1.59466
199,1,1.842,1.61241
200,0,1.85023,1.59356
200,1,1.84981,1.59466
201,0,1.85726,1.57549
201,1,1.85023,1.59356
202,0,1.85764,1.57438
202,1,1.85726,1.57549
203,0,1.86387,1.55601
203,1,1.85764,1.57438
204,0,1.8642,1.55488
204,1,1.86387,1.55601
205,0,1.86963,1.53627
205,1,1.8642,1.55488
206,0,1.86991,1.53512
206,1,1.86963,1.53627
207,0,1.87452,1.51629
207,1,1.86991,1.53512
208,0,1.87475,1.51513
208,1,1.87452,1.51629
209,0,1.87853,1.49611
209,1,1.87475,1.51513
210,0,1.87871,1.49495
210,1,1.87853,1.49611
211,0,1.88166,1.47578
211,1,1.87871,1.49495
212,0,1.88179,1.47461
212,1,1.88166,1.47578
213,0,1.8839,1.45534
213,1,1.88179,1.47461
214,0,1.88397,1.45416
214,1,1.8839,1.45534
215,0,1.88524,1.43481
215,1,1.88397,1.45416
216,0,1.88527,1.43364
216,1,1.88524,1.43481
217,0,1.88569,1.41425
217,1,1.88527,1.43364
218,0,1.88567,1.41307
218,1,1.88569,1.41425
219,0,1.88524,1.39369
219,1,1.88567,1.41307
220,0,1.88516,1.39251
220,1,1.88524,1.39369
221,0,1.8839,1.37316
221,1,1.88516,1.39251
222,0,1.88377,1.37199
222,1,1.8839,1.37316
223,0,1.88166,1.35271
223,1,1.88377,1.37199
224,0,1.88148,1.35155
224,1,1.88166,1.35271
225,0,1.87853,1.33239
225,1,1.88148,1.35155
226,0,1.8783,1.33123
226,1,1.87853,1.33239
227,0,1.87452,1.31221
227,1,1.8783,1.33123
228,0,1.87424,1.31107
228,1,1.87452,1.31221
229,0,1.86963,1.29223
229,1,1.87424,1.31107
230,0,1.8693,1.2911
230,1,1.86963,1.29223
231,0,1.86387,1.27249
231,1,1.8693,1.2911
232,0,1.86349,1.27137
232,1,1.86387,1.27249
233,0,1.85726,1.25301
233,1,1.86349,1.27137
234,0,1.85683,1.25191
234,1,1.85726,1.25301
235,0,1.8498,1.23384
235,1,1.85683,1.25191
236,0,1.84933,1.23276
236,1,1.8498,1.23384
237,0,1.84152,1.21501
237,1,1.84933,1.23276
238,0,1.841,1.21396
238,1,1.84152,1.21501
239,0,1.83242,1.19657
239,1,1.841,1.21396
240,0,1.83186,1.19553
240,1,1.83242,1.19657
241,0,1.82253,1.17853
241,1,1.83186,1.19553
242,0,1.82192,1.17753
242,1,1.82253,1.17853
243,0,1.81186,1.16095
243,1,1.82192,1.17753
244,0,1.8112,1.15997
244,1,1.81186,1.16095
245,0,1.80043,1.14385
245,1,1.8112,1.15997
246,0,1.79974,1.1429
246,1,1.80043,1.14385
247,0,1.78827,1.12726
247,1,1.79974,1.1429
248,0,1.78753,1.12634
248,1,1.78827,1.12726
249,0,1.77539,1.11122
249,1,1.78753,1.12634
250,0,1.77462,1.11033
250,1,1.77539,1.11122
251,0,1.76183,1.09575
251,1,1.77462,1.11033
252,0,1.76102,1.0949
252,1,1.76183,1.09575
253,0,1.74761,1.0809
253,1,1.76102,1.0949
254,0,1.74676,1.08008
254,1,1.74761,1.0809
255,0,1.73275,1.06667
255,1,1.74676,1.08008
256,0,1.73187,1.0659
256,1,1.73275,1.06667
257,0,1.71729,1.05311
257,1,1.73187,1.0659
258,0,1.71637,1.05238
258,1,1.71729,1.05311
259,0,1.70124,1.04024
259,1,1.71637,1.05238
260,0,1.7003,1.03954
260,1,1.70124,1.04024
261,0,1.68466,1.02807
261,1,1.7003,1.03954
262,0,1.68368,1.02742
262,1,1.68466,1.02807
263,0,1.66755,1.01665
263,1,1.68368,1.02742
264,0,1.66655,1.01604
264,1,1.66755,1.01665
265,0,1.64997,1.00598
265,1,1.66655,1.01604
266,0,1.64894,1.00541
266,1,1.64997,1.00598
267,0,1.63194,0.996084
267,1,1.64894,1.00541
268,0,1.63088,0.995564
268,1,1.63194,0.996084
269,0,1.61349,0.986986
269,1,1.63088,0.995564
270,0,1.61241,0.986513
270,1,1.61349,0.986986
271,0,1.59466,0.978704
271,1,1.61241,0.986513
272,0,1.59357,0.978277
272,1,1.59466,0.978704
273,0,1.57549,0.971248
273,1,1.59357,0.978277
274,0,1.57438,0.97087
274,1,1.57549,0.971248
275,0,1.55602,0.964637
275,1,1.57438,0.97087
276,0,1.55489,0.964308
276,1,1.55602,0.964637
277,0,1.53627,0.958882
277,1,1.55489,0.964308
278,0,1.53513,0.958602
278,1,1.53627,0.958882
279,0,1.51629,0.953992
279,1,1.53513,0.958602
280,0,1.51514,0.953763
280,1,1.51629,0.953992
281,0,1.49612,0.94998
281,1,1.51514,0.953763
282,0,1.49495,0.949802
282,1,1.49612,0.94998
283,0,1.47579,0.946851
283,1,1.49495,0.949802
284,0,1.47462,0.946723
284,1,1.47579,0.946851
285,0,1.45534,0.944612
285,1,1.47462,0.946723
286,0,1.45417,0.944535
286,1,1.45534,0.944612
287,0,1.43482,0.943267
287,1,1.45417,0.944535
